year,hbelow_wild,hbelow_enh,hbelow,cv.hb,habove_wild,habove_enh,habove,cv.ha,x4,x5,x6
1980,NA,NA,NA,0.05,NA,NA,22752,0.05,0,0,0
1981,NA,NA,NA,0.05,NA,NA,10922,0.05,0,0,0
1982,NA,NA,NA,0.05,NA,NA,3144,0.05,0,0,0
1983,23460.115,NA,23460.115,0.05,NA,NA,17056,0.05,45,48,6
1984,57619.37,NA,57619.37,0.05,NA,NA,27292,0.05,31,66,3
1985,74286.9,NA,74286.9,0.05,NA,NA,14411,0.05,32,63,5
1986,60644.12064,NA,60644.12064,0.05,NA,NA,14939,0.05,32,59,10
1987,54962.73564,NA,54962.73564,0.05,NA,NA,13887,0.05,38,56,5
1988,25785.34343,NA,25785.34343,0.05,NA,NA,12966.97958,0.05,50,46,4
1989,63365.93076,NA,63365.93076,0.05,NA,NA,18805,0.05,29,65,5
1990,109285.1592,NA,109285.1592,0.05,1666,NA,21474,0.05,29,64,7
1991,105270.8067,NA,105270.8067,0.05,1941,NA,25380,0.05,39,54,7
1992,121175.6963,NA,121175.6963,0.05,1640,NA,29862,0.05,36,57,7
1993,142088.5538,NA,142088.5538,0.05,747,NA,33523,0.05,29,66,6
1994,98062.57677,NA,98062.57677,0.05,747,NA,29001,0.05,27,69,4
1995,87878.0823,4105.832089,91983.91439,0.05,1093.304805,299.6951952,31374.09822,0.05,44,52,4
1996,182944.3662,4782.81567,187727.1818,0.05,2254.107372,100.8926282,41286.67527,0.05,44,53,3
1997,77066.73392,2060.25382,79126.98774,0.05,2316.061149,65.9388514,23685.44732,0.05,32,58,11
1998,48989.07183,842.8887887,49831.96062,0.05,1233.462312,28.53768844,18680.60579,0.05,26,66,7
1999,62440.87886,617.2433275,63058.12219,0.05,212.1882353,3.811764706,20847.25033,0.05,53,44,3
2000,129683.1011,1578.647857,131261.749,0.05,1740.380711,264.6192893,28024.85501,0.05,44,51,5
2001,195495.5001,8937.68354,204433.1836,0.05,2497.905707,498.0942928,46231.08821,0.05,32,66,2
2002,115746.6165,652.9893325,116399.6059,0.05,982.1938776,133.8061224,31675.93804,0.05,39,58,3
2003,136165.064,776.936022,136942,0.05,1090.10989,459.8901099,32754.60165,0.05,30,68,2
2004,76320.84531,691.521146,77012.36645,0.05,376.5994236,217.4005764,20091.22479,0.05,50,48,3
2005,45496.3783,592.6216989,46089,0.05,743.0335052,183.9664948,21840.20279,0.05,41,56,2
2006,63586.95513,2240.697572,65827.6527,0.05,3068.710843,294.2891566,20627.76075,0.05,34,63,3
2007,61386.55104,3742.448965,65129,0.05,2817.217617,798.7823834,15467.7523,0.05,44,50,5
2008,63904.99782,11787.00218,75692,0.05,2540,1300,17442.16288,0.05,37,60,3
2009,35983.67077,248.329235,36232,0.05,720.3853904,128.6146096,11152.3224,0.05,40,54,6
2010,45823.84281,943.1571916,46767,0.05,1118.592965,281.4070352,20019.36411,0.05,57,42,1
2011,66113.37975,5691.225614,71804.60536,0.05,957.8947368,342.1052632,22739.58644,0.05,25,69,6
2012,46558.69536,4177.200155,50735.89551,0.05,930,520,26986.55771,0.05,57,40,3
2013,86772.96632,13370.58878,100143.5551,0.05,703.8860104,596.1139896,21190.4603,0.05,30,63,8
2014,32306.31749,919.2025056,33225.51999,0.05,587.5558739,321.4441261,17326.16481,0.05,66,31,3
2015,41851.94713,201.8800983,42053.82723,0.05,337.6096096,260.3903904,19725.02798,0.05,59,39,2
2016,68030.88937,6843.136163,74874.02553,0.05,1224.742268,275.257732,33391.00719,0.05,63,36,2
2017,68480.39173,6123.295008,74603.68674,0.05,1245.188917,294.8110831,27552.3219,0.05,25,70,4
2018,25892.56272,1509.880752,27402.44347,0.05,1208.121827,491.8781726,17037.64707,0.05,70,25,5
