"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"MSY",249337.74874908,295015.677334105,61544.5251073075,119509.028512116,169972.320524114,244884.806371976,1309397.62468271,1.02224924487266,150
"S.eq",218912.248519596,265169.585826047,105891.905154833,131429.445394513,158229.78751126,213637.680373441,622966.571745736,1.05029702029418,94
"S.max",117293.105355939,163998.050635887,39960.4578436967,57822.6625040973,74426.4985746051,108952.974866869,466692.052776031,1.04578617221045,60
"S.msy",77119.1858580454,101360.61501445,31509.0640589389,44368.3231411083,55932.6103025349,71811.9728324369,230745.386364479,1.12891704793725,150
"U.msy",0.715028603865632,0.134839807869682,0.405255121785183,0.650948684067397,0.737091605346981,0.810964802780966,0.887879220772605,1.09310457565882,40
"alpha",6.19436420897235,6.54685621344752,1.67782498440465,3.57901941215899,4.8176216767908,7.49018310361444,16.1317709480186,1.03239697796522,86
"beta",1.32611513459738e-05,6.08032858791798e-06,2.14274058032847e-06,9.17827164629431e-06,1.34360747737931e-05,1.72942572460952e-05,2.50247383028355e-05,1.04578617221045,60
"deviance",81.088145376047,3.11293983775345,76.8274294344889,78.7018426517271,80.5165222866954,82.9251182430699,88.8497159670435,0.99680219986693,150
"lnalpha",1.6140865794199,0.594226427574689,0.517044944772425,1.27508843794885,1.57228028373593,2.01358344268727,2.78076824238223,1.07699835606602,51
"lnalpha.c",2.17616516067741,0.773066573683492,1.03166257014338,1.71745041314989,2.0978808152483,2.5012787817218,3.97034832880845,1.02804369866843,99
"resid.red.0",-0.109891039650069,0.925691707342701,-1.83509681388853,-0.7272020884146,-0.059657656966882,0.469667935192302,1.85971799844847,1.0093296884115,130
"sigma.red",1.0249882883792,0.272120996578773,0.702027127722646,0.851578387004169,0.968650521955982,1.12334816379397,1.70385113232711,1.00108125252107,150
"sigma.white",0.782059196006155,0.109455025137913,0.597777035568581,0.704257669221225,0.776112449278871,0.84659107429543,1.0009980079627,1.00038360429175,150
