"","variable","X2.5.","X25.","X50.","X75.","X97.5."
"1","MSY",62373.5286859777,116198.57634391,156198.659823134,221728.2485777,952572.387573908
"2","S.eq",101330.608264786,127684.688569164,150001.047437153,187608.58505171,375931.271161005
"3","S.max",39176.9853392088,55513.1735667161,69315.0443457347,90433.8867250901,179775.343476936
"4","S.msy",32104.4880363154,43483.409669442,50416.6049564117,63523.9016091549,108989.116705197
"5","U.msy",0.46976680800458,0.669402050588064,0.744100598843328,0.801687426257359,0.889282014709988
"6","alpha",2.3350583789068,3.90484197058922,5.36925343947819,7.54450051490972,17.3582904949124
"7","beta",5.56264639440361e-06,1.10578109999484e-05,1.44269250477854e-05,1.80142840736891e-05,2.55255165453641e-05
"8","lnalpha",0.848028264691734,1.36218926278635,1.68068693995206,2.02081597400415,2.84190788035288
"9","lnalpha.c",1.34923337562393,1.81576786069152,2.14883697469889,2.51777924128092,4.54986753842756
"10","resid.red.0",-1.7538282578151,-0.447671995774386,-0.0286373416794857,0.593460680228755,1.40529954829353
"11","sigma.red",0.715591459889003,0.85406224082091,0.944959246307913,1.07974757723767,1.98810410843433
"12","sigma.white",0.616989450892329,0.698257424050087,0.759516802725665,0.831497416298882,0.973012067487592
