"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
153278.463439466,87548.0201390551,34436.641805312,16978.2538996089,14382.9407034116,5000
277087.26244625,161633.418066895,62205.551690401,32391.1809279443,26892.9418148363,10000
383877.388893109,222690.027297432,84077.3634168845,44459.2081767821,37769.5485905667,15000
472820.411032883,272024.156139287,102350.03157111,55865.9969172662,47968.5050104609,20000
546066.658023273,311419.17281839,117846.539010627,63920.0463672528,57031.5953028731,25000
605528.261024327,342129.426098842,130343.21711875,68316.7588300404,62178.313259496,30000
652904.556278242,363212.339715527,139252.73220042,74052.297541386,62769.9248890051,35000
691871.181656423,372324.770732327,145484.026938144,81123.5077303781,66051.6511407087,40000
722671.610967744,384135.141127878,149958.529586341,84918.3608743277,69602.0786883776,45000
745610.609731782,390911.073022666,150526.169666848,89148.7008675883,69813.4337906423,50000
746708.153716879,388188.551469656,150704.460930436,87451.6482858139,69252.6330917031,55000
719622.632331144,371894.135801343,151226.487332512,84684.7849155906,67202.1794133196,60000
688147.118926808,365451.521511585,146393.726664571,77649.9035684181,65280.7527441846,65000
663911.807917813,365829.109208439,139280.278144872,70611.3312845463,63089.4359468571,70000
651961.405361388,364035.868779216,131935.741751356,68382.3463286236,57170.4818542739,75000
639288.840920501,360313.82986319,126164.122627052,62076.2242129762,48125.6169089397,80000
624090.110635282,348872.770621779,120265.495123869,53616.1707564445,39908.0193491457,85000
607846.715660901,334801.210742642,114202.955270311,46690.7970216353,32788.4535481084,90000
596434.624219278,318318.441660788,106282.824444094,41084.2967839281,23335.417048693,95000
583186.776605924,304898.610988847,99468.040303545,30158.7753550649,10820.9027645843,100000
568352.734205701,288550.431450873,91036.3180280562,17100.3137279798,-794.162093886279,105000
552158.308967976,281609.216886993,82491.0185853545,7300.36748309841,-11032.6527723001,110000
534807.542132571,253905.02306438,72353.5588931277,-3412.66769121906,-21110.3295466392,115000
516484.529207164,245535.28337067,59622.5755358774,-13158.1386242844,-30297.6021476798,120000
497355.102641304,237162.850099734,51154.1976840971,-23848.6515937312,-39444.2341347499,125000
480025.666216778,231522.501046888,42202.2416468931,-33610.9697626863,-49665.6872548142,130000
463258.551810518,224456.00452979,31297.0772949455,-44315.7812922735,-61388.4773273793,135000
445929.323357998,216921.383557891,20433.2120905924,-54722.3992808282,-72386.6043709535,140000
428137.64079859,208026.998029473,10123.2336574877,-64908.70411086,-82777.0088145676,145000
409973.690573771,197599.791222886,-12.5349166035157,-74868.7946010549,-93316.6634653283,150000
391518.942775851,188675.113098222,-11377.4239871132,-84599.7858528625,-102867.98690976,155000
372846.852481945,178262.199219003,-22071.3907055469,-94101.2978394735,-112583.036501255,160000
354023.509203391,169185.092195286,-31439.6219512031,-103374.424881543,-121913.162491001,165000
335108.238111946,159726.072383336,-41261.0825032266,-112374.023495709,-130737.033275621,170000
316154.156453316,150056.582280501,-51795.5287130233,-121159.562940705,-138929.0693779,175000
297208.688324586,140203.088131068,-61006.1217922376,-129736.455450147,-146936.256727222,180000
278314.040773885,129577.678885626,-72393.8220805695,-138110.948082208,-154716.771868946,185000
259507.643977038,118794.986837815,-83602.2629320059,-146289.679211042,-162281.990770513,190000
240822.558056143,107908.687355041,-93619.0992633266,-154372.780964981,-169645.903210126,195000
222287.848927906,96939.2472679801,-102461.838744991,-162270.430690885,-176822.010476888,200000
203928.935404517,90368.0410697065,-111273.344398084,-169983.048188598,-183823.263874337,205000
185767.909615861,86270.4810519254,-119274.758214836,-177476.189760968,-190662.022778831,210000
168944.33840392,80501.9750123945,-127662.464811169,-184803.876188409,-197350.028666488,215000
158037.015506655,63897.2597285177,-137247.77046853,-191980.038607111,-203898.392079526,220000
149375.342372643,54804.6029786664,-146199.126721601,-199054.641795042,-210317.589980128,225000
140704.342158796,48046.7310906607,-154834.708266655,-206062.903542468,-216617.471348273,230000
124991.394144085,38329.9921839775,-163545.239223554,-212941.089840146,-222807.269228813,235000
108790.062822057,27557.2701224949,-171993.769111491,-219680.444503122,-228895.617730649,240000
97592.3612961956,20639.8146394001,-180301.280801618,-226275.345416708,-234874.115727566,245000
88344.4937578872,13626.3143801045,-188471.019331173,-232722.777026731,-240742.517116599,250000
79215.2398603434,6523.48246211227,-196549.633780086,-239057.044386952,-246539.738213162,255000
70019.9155579199,-918.821554517039,-204607.026152262,-245290.839580308,-252271.194835705,260000
60767.0773579253,-10365.2601452744,-212523.184837083,-251433.936671824,-257941.946390235,265000
51635.2285583096,-25793.2654748137,-220393.047395749,-257492.43422316,-263556.711354741,270000
43362.7541332787,-41365.9521023438,-228129.719387401,-263350.77177041,-269119.883410717,275000
35606.9745971455,-57474.5794376622,-235729.915747971,-269306.628477867,-274635.547917781,280000
27775.6378166162,-70577.1739606829,-243199.063040891,-275199.607825669,-280118.081759721,285000
19874.6504381213,-81143.6814968908,-250505.235371748,-281019.502798408,-285560.159901098,290000
12111.9917745525,-90508.1572672576,-257555.670381904,-286702.141735394,-290963.403454144,295000
5392.29626632461,-99836.5458477204,-264509.520930511,-292436.734496005,-296331.074550474,300000
-1397.94942589987,-109125.371578099,-271370.449521155,-298054.372994288,-301666.180493008,305000
-8144.39054560277,-118371.475467531,-278142.067650958,-303623.278511744,-306971.491082576,310000
-14840.513531543,-127687.639311493,-284827.925708013,-309173.975692904,-312249.55513935,315000
-21598.2020913843,-137292.52452402,-291431.5044905,-314728.004655047,-317502.716194584,320000
-28413.9465646293,-146825.419435793,-297956.208172523,-320188.702979966,-322733.127342462,325000
-35680.4265509098,-156284.764540847,-304405.358558098,-325607.916616485,-327942.765253371,330000
-48036.1149913409,-165669.242543181,-310782.190479672,-330991.477070035,-333133.443359133,335000
-59618.2116157506,-174977.761167004,-317105.503150632,-336342.313639138,-338306.824227949,340000
-70185.4153373355,-184209.436978222,-323557.613114474,-341663.127391908,-343464.431152408,345000
-78546.9893528294,-193363.58016222,-329738.529129284,-346956.40738907,-348607.658978062,350000
-86921.8598354786,-202908.395939998,-335839.462892147,-352224.44596003,-353737.784203141,355000
